img1,img2,roll1,pitch1,yaw1,focal1,focal2,dist1,dist2,roll2,pitch2,yaw2
images/0914_p245.0_t25.0_z2.0.jpg,images/0752_p155.0_t15.0_z2.0.jpg,0.0,25.0,245.0,2.0,2.0,0.0,0.0,0.0,15.0,155.0
images/1293_p340.0_t50.0_z2.0.jpg,images/0111_p190.0_t15.0_z1.0.jpg,0.0,50.0,340.0,2.0,1.0,0.0,0.0,0.0,15.0,190.0
images/1116_p175.0_t40.0_z2.0.jpg,images/0688_p195.0_t10.0_z2.0.jpg,0.0,40.0,175.0,2.0,2.0,0.0,0.0,0.0,10.0,195.0
images/0174_p145.0_t20.0_z1.0.jpg,images/1052_p215.0_t35.0_z2.0.jpg,0.0,20.0,145.0,1.0,2.0,0.0,0.0,0.0,35.0,215.0
images/0768_p235.0_t15.0_z2.0.jpg,images/1023_p70.0_t35.0_z2.0.jpg,0.0,15.0,235.0,2.0,2.0,0.0,0.0,0.0,35.0,70.0
images/0162_p85.0_t20.0_z1.0.jpg,images/0031_p150.0_t10.0_z1.0.jpg,0.0,20.0,85.0,1.0,1.0,0.0,0.0,0.0,10.0,150.0
images/0397_p180.0_t35.0_z1.0.jpg,images/0543_p190.0_t45.0_z1.0.jpg,0.0,35.0,180.0,1.0,1.0,0.0,0.0,0.0,45.0,190.0
images/0268_p255.0_t25.0_z1.0.jpg,images/1275_p250.0_t50.0_z2.0.jpg,0.0,25.0,255.0,1.0,2.0,0.0,0.0,0.0,50.0,250.0
images/0653_p20.0_t10.0_z2.0.jpg,images/0292_p15.0_t30.0_z1.0.jpg,0.0,10.0,20.0,2.0,1.0,0.0,0.0,0.0,30.0,15.0
images/1236_p55.0_t50.0_z2.0.jpg,images/0943_p30.0_t30.0_z2.0.jpg,0.0,50.0,55.0,2.0,2.0,0.0,0.0,0.0,30.0,30.0
images/0237_p100.0_t25.0_z1.0.jpg,images/0703_p270.0_t10.0_z2.0.jpg,0.0,25.0,100.0,1.0,2.0,0.0,0.0,0.0,10.0,270.0
images/1243_p90.0_t50.0_z2.0.jpg,images/1250_p125.0_t50.0_z2.0.jpg,0.0,50.0,90.0,2.0,2.0,0.0,0.0,0.0,50.0,125.0
images/0852_p295.0_t20.0_z2.0.jpg,images/0820_p135.0_t20.0_z2.0.jpg,0.0,20.0,295.0,2.0,2.0,0.0,0.0,0.0,20.0,135.0
images/0215_p350.0_t20.0_z1.0.jpg,images/1043_p170.0_t35.0_z2.0.jpg,0.0,20.0,350.0,1.0,2.0,0.0,0.0,0.0,35.0,170.0
images/1171_p90.0_t45.0_z2.0.jpg,images/1178_p125.0_t45.0_z2.0.jpg,0.0,45.0,90.0,2.0,2.0,0.0,0.0,0.0,45.0,125.0
images/0638_p305.0_t50.0_z1.0.jpg,images/0363_p10.0_t35.0_z1.0.jpg,0.0,50.0,305.0,1.0,1.0,0.0,0.0,0.0,35.0,10.0
images/0658_p45.0_t10.0_z2.0.jpg,images/0313_p120.0_t30.0_z1.0.jpg,0.0,10.0,45.0,2.0,1.0,0.0,0.0,0.0,30.0,120.0
images/1083_p10.0_t40.0_z2.0.jpg,images/0794_p5.0_t20.0_z2.0.jpg,0.0,40.0,10.0,2.0,2.0,0.0,0.0,0.0,20.0,5.0
images/0509_p20.0_t45.0_z1.0.jpg,images/1023_p70.0_t35.0_z2.0.jpg,0.0,45.0,20.0,1.0,2.0,0.0,0.0,0.0,35.0,70.0
images/0251_p170.0_t25.0_z1.0.jpg,images/1025_p80.0_t35.0_z2.0.jpg,0.0,25.0,170.0,1.0,2.0,0.0,0.0,0.0,35.0,80.0
images/1193_p200.0_t45.0_z2.0.jpg,images/1231_p30.0_t50.0_z2.0.jpg,0.0,45.0,200.0,2.0,2.0,0.0,0.0,0.0,50.0,30.0
images/0346_p285.0_t30.0_z1.0.jpg,images/0934_p345.0_t25.0_z2.0.jpg,0.0,30.0,285.0,1.0,2.0,0.0,0.0,0.0,25.0,345.0
images/0521_p80.0_t45.0_z1.0.jpg,images/1018_p45.0_t35.0_z2.0.jpg,0.0,45.0,80.0,1.0,2.0,0.0,0.0,0.0,35.0,45.0
images/0441_p40.0_t40.0_z1.0.jpg,images/0356_p335.0_t30.0_z1.0.jpg,0.0,40.0,40.0,1.0,1.0,0.0,0.0,0.0,30.0,335.0
images/0888_p115.0_t25.0_z2.0.jpg,images/0951_p70.0_t30.0_z2.0.jpg,0.0,25.0,115.0,2.0,2.0,0.0,0.0,0.0,30.0,70.0
images/0319_p150.0_t30.0_z1.0.jpg,images/0625_p240.0_t50.0_z1.0.jpg,0.0,30.0,150.0,1.0,1.0,0.0,0.0,0.0,50.0,240.0
images/1010_p5.0_t35.0_z2.0.jpg,images/0503_p350.0_t40.0_z1.0.jpg,0.0,35.0,5.0,2.0,1.0,0.0,0.0,0.0,40.0,350.0
images/0080_p35.0_t15.0_z1.0.jpg,images/0860_p335.0_t20.0_z2.0.jpg,0.0,15.0,35.0,1.0,2.0,0.0,0.0,0.0,20.0,335.0
images/0727_p30.0_t15.0_z2.0.jpg,images/0796_p15.0_t20.0_z2.0.jpg,0.0,15.0,30.0,2.0,2.0,0.0,0.0,0.0,20.0,15.0
images/1162_p45.0_t45.0_z2.0.jpg,images/0328_p195.0_t30.0_z1.0.jpg,0.0,45.0,45.0,2.0,1.0,0.0,0.0,0.0,30.0,195.0
images/0901_p180.0_t25.0_z2.0.jpg,images/0220_p15.0_t25.0_z1.0.jpg,0.0,25.0,180.0,2.0,1.0,0.0,0.0,0.0,25.0,15.0
images/0703_p270.0_t10.0_z2.0.jpg,images/1061_p260.0_t35.0_z2.0.jpg,0.0,10.0,270.0,2.0,2.0,0.0,0.0,0.0,35.0,260.0
images/0264_p235.0_t25.0_z1.0.jpg,images/0455_p110.0_t40.0_z1.0.jpg,0.0,25.0,235.0,1.0,1.0,0.0,0.0,0.0,40.0,110.0
images/0508_p15.0_t45.0_z1.0.jpg,images/0823_p150.0_t20.0_z2.0.jpg,0.0,45.0,15.0,1.0,2.0,0.0,0.0,0.0,20.0,150.0
images/0896_p155.0_t25.0_z2.0.jpg,images/1102_p105.0_t40.0_z2.0.jpg,0.0,25.0,155.0,2.0,2.0,0.0,0.0,0.0,40.0,105.0
images/0350_p305.0_t30.0_z1.0.jpg,images/1080_p350.0_t35.0_z2.0.jpg,0.0,30.0,305.0,1.0,2.0,0.0,0.0,0.0,35.0,355.0
images/0913_p240.0_t25.0_z2.0.jpg,images/0944_p35.0_t30.0_z2.0.jpg,0.0,25.0,240.0,2.0,2.0,0.0,0.0,0.0,30.0,35.0
images/1104_p115.0_t40.0_z2.0.jpg,images/0511_p30.0_t45.0_z1.0.jpg,0.0,40.0,115.0,2.0,1.0,0.0,0.0,0.0,45.0,30.0
images/0835_p210.0_t20.0_z2.0.jpg,images/1014_p25.0_t35.0_z2.0.jpg,0.0,20.0,210.0,2.0,2.0,0.0,0.0,0.0,35.0,25.0
images/0019_p90.0_t10.0_z1.0.jpg,images/0752_p155.0_t15.0_z2.0.jpg,0.0,10.0,90.0,1.0,2.0,0.0,0.0,0.0,15.0,155.0
images/0882_p85.0_t25.0_z2.0.jpg,images/0829_p180.0_t20.0_z2.0.jpg,0.0,25.0,85.0,2.0,2.0,0.0,0.0,0.0,20.0,180.0
images/0492_p295.0_t40.0_z1.0.jpg,images/0388_p135.0_t35.0_z1.0.jpg,0.0,40.0,295.0,1.0,1.0,0.0,0.0,0.0,35.0,135.0
images/0430_p345.0_t35.0_z1.0.jpg,images/0676_p135.0_t10.0_z2.0.jpg,0.0,35.0,345.0,1.0,2.0,0.0,0.0,0.0,10.0,135.0
images/0712_p315.0_t10.0_z2.0.jpg,images/0741_p100.0_t15.0_z2.0.jpg,0.0,10.0,315.0,2.0,2.0,0.0,0.0,0.0,15.0,100.0
images/0551_p230.0_t45.0_z1.0.jpg,images/1190_p185.0_t45.0_z2.0.jpg,0.0,45.0,230.0,1.0,2.0,0.0,0.0,0.0,45.0,185.0
images/0215_p350.0_t20.0_z1.0.jpg,images/0439_p30.0_t40.0_z1.0.jpg,0.0,20.0,350.0,1.0,1.0,0.0,0.0,0.0,40.0,30.0
images/0601_p120.0_t50.0_z1.0.jpg,images/0117_p220.0_t15.0_z1.0.jpg,0.0,50.0,120.0,1.0,1.0,0.0,0.0,0.0,15.0,220.0
images/0277_p300.0_t25.0_z1.0.jpg,images/0186_p205.0_t20.0_z1.0.jpg,0.0,25.0,300.0,1.0,1.0,0.0,0.0,0.0,20.0,205.0
images/0558_p265.0_t45.0_z1.0.jpg,images/0709_p300.0_t10.0_z2.0.jpg,0.0,45.0,265.0,1.0,2.0,0.0,0.0,0.0,10.0,300.0
images/0178_p165.0_t20.0_z1.0.jpg,images/0476_p215.0_t40.0_z1.0.jpg,0.0,20.0,165.0,1.0,1.0,0.0,0.0,0.0,40.0,215.0
images/1263_p190.0_t50.0_z2.0.jpg,images/0006_p25.0_t10.0_z1.0.jpg,0.0,50.0,190.0,2.0,1.0,0.0,0.0,0.0,10.0,25.0
images/1141_p300.0_t40.0_z2.0.jpg,images/0900_p175.0_t25.0_z2.0.jpg,0.0,40.0,300.0,2.0,2.0,0.0,0.0,0.0,25.0,175.0
images/0333_p220.0_t30.0_z1.0.jpg,images/1057_p240.0_t35.0_z2.0.jpg,0.0,30.0,220.0,1.0,2.0,0.0,0.0,0.0,35.0,240.0
images/0038_p185.0_t10.0_z1.0.jpg,images/0973_p180.0_t30.0_z2.0.jpg,0.0,10.0,185.0,1.0,2.0,0.0,0.0,0.0,30.0,180.0
images/0589_p60.0_t50.0_z1.0.jpg,images/0885_p100.0_t25.0_z2.0.jpg,0.0,50.0,60.0,1.0,2.0,0.0,0.0,0.0,25.0,100.0
images/0986_p245.0_t30.0_z2.0.jpg,images/0016_p75.0_t10.0_z1.0.jpg,0.0,30.0,245.0,2.0,1.0,0.0,0.0,0.0,10.0,75.0
images/1225_p0.0_t50.0_z2.0.jpg,images/0142_p345.0_t15.0_z1.0.jpg,0.0,50.0,0.0,2.0,1.0,0.0,0.0,0.0,15.0,345.0
images/1268_p215.0_t50.0_z2.0.jpg,images/0788_p335.0_t15.0_z2.0.jpg,0.0,50.0,215.0,2.0,2.0,0.0,0.0,0.0,15.0,335.0
images/1078_p345.0_t35.0_z2.0.jpg,images/0091_p90.0_t15.0_z1.0.jpg,0.0,35.0,345.0,2.0,1.0,0.0,0.0,0.0,15.0,90.0
images/0847_p270.0_t20.0_z2.0.jpg,images/1061_p260.0_t35.0_z2.0.jpg,0.0,20.0,270.0,2.0,2.0,0.0,0.0,0.0,35.0,260.0
images/0813_p100.0_t20.0_z2.0.jpg,images/0968_p155.0_t30.0_z2.0.jpg,0.0,20.0,100.0,2.0,2.0,0.0,0.0,0.0,30.0,155.0
images/0236_p95.0_t25.0_z1.0.jpg,images/0099_p130.0_t15.0_z1.0.jpg,0.0,25.0,95.0,1.0,1.0,0.0,0.0,0.0,15.0,130.0
images/0371_p50.0_t35.0_z1.0.jpg,images/0249_p160.0_t25.0_z1.0.jpg,0.0,35.0,50.0,1.0,1.0,0.0,0.0,0.0,25.0,160.0
images/0355_p330.0_t30.0_z1.0.jpg,images/1104_p115.0_t40.0_z2.0.jpg,0.0,30.0,330.0,1.0,2.0,0.0,0.0,0.0,40.0,115.0
images/0187_p210.0_t20.0_z1.0.jpg,images/0579_p10.0_t50.0_z1.0.jpg,0.0,20.0,210.0,1.0,1.0,0.0,0.0,0.0,50.0,10.0
images/0461_p140.0_t40.0_z1.0.jpg,images/0456_p115.0_t40.0_z1.0.jpg,0.0,40.0,140.0,1.0,1.0,0.0,0.0,0.0,40.0,115.0
images/0391_p150.0_t35.0_z1.0.jpg,images/1036_p135.0_t35.0_z2.0.jpg,0.0,35.0,150.0,1.0,2.0,0.0,0.0,0.0,35.0,135.0
images/0103_p150.0_t15.0_z1.0.jpg,images/0223_p30.0_t25.0_z1.0.jpg,0.0,15.0,150.0,1.0,1.0,0.0,0.0,0.0,25.0,30.0
images/0405_p220.0_t35.0_z1.0.jpg,images/0458_p125.0_t40.0_z1.0.jpg,0.0,35.0,220.0,1.0,1.0,0.0,0.0,0.0,40.0,125.0
images/0749_p140.0_t15.0_z2.0.jpg,images/0981_p220.0_t30.0_z2.0.jpg,0.0,15.0,140.0,2.0,2.0,0.0,0.0,0.0,30.0,220.0
images/0786_p325.0_t15.0_z2.0.jpg,images/0361_p0.0_t35.0_z1.0.jpg,0.0,15.0,325.0,2.0,1.0,0.0,0.0,0.0,35.0,0.0
images/0672_p115.0_t10.0_z2.0.jpg,images/0392_p155.0_t35.0_z1.0.jpg,0.0,10.0,115.0,2.0,1.0,0.0,0.0,0.0,35.0,155.0
images/0696_p235.0_t10.0_z2.0.jpg,images/0065_p320.0_t10.0_z1.0.jpg,0.0,10.0,235.0,2.0,1.0,0.0,0.0,0.0,10.0,320.0
images/0133_p300.0_t15.0_z1.0.jpg,images/0549_p220.0_t45.0_z1.0.jpg,0.0,15.0,300.0,1.0,1.0,0.0,0.0,0.0,45.0,220.0
images/0140_p335.0_t15.0_z1.0.jpg,images/0935_p350.0_t25.0_z2.0.jpg,0.0,15.0,335.0,1.0,2.0,0.0,0.0,0.0,25.0,350.0
images/0027_p130.0_t10.0_z1.0.jpg,images/1016_p35.0_t35.0_z2.0.jpg,0.0,10.0,130.0,1.0,2.0,0.0,0.0,0.0,35.0,35.0
images/0365_p20.0_t35.0_z1.0.jpg,images/0991_p270.0_t30.0_z2.0.jpg,0.0,35.0,20.0,1.0,2.0,0.0,0.0,0.0,30.0,270.0
images/0633_p280.0_t50.0_z1.0.jpg,images/1090_p45.0_t40.0_z2.0.jpg,0.0,50.0,280.0,1.0,2.0,0.0,0.0,0.0,40.0,45.0
images/1197_p220.0_t45.0_z2.0.jpg,images/0621_p220.0_t50.0_z1.0.jpg,0.0,45.0,220.0,2.0,1.0,0.0,0.0,0.0,50.0,220.0
images/0980_p215.0_t30.0_z2.0.jpg,images/0726_p25.0_t15.0_z2.0.jpg,0.0,30.0,215.0,2.0,2.0,0.0,0.0,0.0,15.0,25.0
images/0460_p135.0_t40.0_z1.0.jpg,images/0954_p85.0_t30.0_z2.0.jpg,0.0,40.0,135.0,1.0,2.0,0.0,0.0,0.0,30.0,85.0
images/0785_p320.0_t15.0_z2.0.jpg,images/1061_p260.0_t35.0_z2.0.jpg,0.0,15.0,320.0,2.0,2.0,0.0,0.0,0.0,35.0,260.0
images/0250_p165.0_t25.0_z1.0.jpg,images/0986_p245.0_t30.0_z2.0.jpg,0.0,25.0,165.0,1.0,2.0,0.0,0.0,0.0,30.0,245.0
images/0861_p340.0_t20.0_z2.0.jpg,images/1004_p335.0_t30.0_z2.0.jpg,0.0,20.0,340.0,2.0,2.0,0.0,0.0,0.0,30.0,335.0
images/0322_p165.0_t30.0_z1.0.jpg,images/1143_p310.0_t40.0_z2.0.jpg,0.0,30.0,165.0,1.0,2.0,0.0,0.0,0.0,40.0,310.0
images/0417_p280.0_t35.0_z1.0.jpg,images/0247_p150.0_t25.0_z1.0.jpg,0.0,35.0,280.0,1.0,1.0,0.0,0.0,0.0,25.0,150.0
images/0521_p80.0_t45.0_z1.0.jpg,images/0229_p60.0_t25.0_z1.0.jpg,0.0,45.0,80.0,1.0,1.0,0.0,0.0,0.0,25.0,60.0
images/0849_p280.0_t20.0_z2.0.jpg,images/1120_p195.0_t40.0_z2.0.jpg,0.0,20.0,280.0,2.0,2.0,0.0,0.0,0.0,40.0,195.0
images/0348_p295.0_t30.0_z1.0.jpg,images/0938_p5.0_t30.0_z2.0.jpg,0.0,30.0,295.0,1.0,2.0,0.0,0.0,0.0,30.0,5.0
images/0220_p15.0_t25.0_z1.0.jpg,images/0014_p65.0_t10.0_z1.0.jpg,0.0,25.0,15.0,1.0,1.0,0.0,0.0,0.0,10.0,65.0
images/0477_p220.0_t40.0_z1.0.jpg,images/0671_p110.0_t10.0_z2.0.jpg,0.0,40.0,220.0,1.0,2.0,0.0,0.0,0.0,10.0,110.0
images/0330_p205.0_t30.0_z1.0.jpg,images/0623_p230.0_t50.0_z1.0.jpg,0.0,30.0,205.0,1.0,1.0,0.0,0.0,0.0,50.0,230.0
images/0387_p130.0_t35.0_z1.0.jpg,images/1070_p305.0_t35.0_z2.0.jpg,0.0,35.0,130.0,1.0,2.0,0.0,0.0,0.0,35.0,305.0
images/0882_p85.0_t25.0_z2.0.jpg,images/1070_p305.0_t35.0_z2.0.jpg,0.0,25.0,85.0,2.0,2.0,0.0,0.0,0.0,35.0,305.0
images/0554_p245.0_t45.0_z1.0.jpg,images/0228_p55.0_t25.0_z1.0.jpg,0.0,45.0,245.0,1.0,1.0,0.0,0.0,0.0,25.0,55.0
images/1085_p20.0_t40.0_z2.0.jpg,images/0860_p335.0_t20.0_z2.0.jpg,0.0,40.0,20.0,2.0,2.0,0.0,0.0,0.0,20.0,335.0
images/0191_p230.0_t20.0_z1.0.jpg,images/0367_p30.0_t35.0_z1.0.jpg,0.0,20.0,230.0,1.0,1.0,0.0,0.0,0.0,35.0,30.0
images/0401_p200.0_t35.0_z1.0.jpg,images/0091_p90.0_t15.0_z1.0.jpg,0.0,35.0,200.0,1.0,1.0,0.0,0.0,0.0,15.0,90.0
images/0873_p40.0_t25.0_z2.0.jpg,images/0451_p90.0_t40.0_z1.0.jpg,0.0,25.0,40.0,2.0,1.0,0.0,0.0,0.0,40.0,90.0
images/0477_p220.0_t40.0_z1.0.jpg,images/0438_p25.0_t40.0_z1.0.jpg,0.0,40.0,220.0,1.0,1.0,0.0,0.0,0.0,40.0,25.0
images/1228_p15.0_t50.0_z2.0.jpg,images/0518_p65.0_t45.0_z1.0.jpg,0.0,50.0,15.0,2.0,1.0,0.0,0.0,0.0,45.0,65.0
images/1169_p80.0_t45.0_z2.0.jpg,images/0481_p240.0_t40.0_z1.0.jpg,0.0,45.0,80.0,2.0,1.0,0.0,0.0,0.0,40.0,240.0
images/0243_p130.0_t25.0_z1.0.jpg,images/0895_p150.0_t25.0_z2.0.jpg,0.0,25.0,130.0,1.0,2.0,0.0,0.0,0.0,25.0,150.0
images/0060_p295.0_t10.0_z1.0.jpg,images/1278_p265.0_t50.0_z2.0.jpg,0.0,10.0,295.0,1.0,2.0,0.0,0.0,0.0,50.0,265.0
images/0344_p275.0_t30.0_z1.0.jpg,images/0452_p95.0_t40.0_z1.0.jpg,0.0,30.0,275.0,1.0,1.0,0.0,0.0,0.0,40.0,95.0
images/1125_p220.0_t40.0_z2.0.jpg,images/0754_p165.0_t15.0_z2.0.jpg,0.0,40.0,220.0,2.0,2.0,0.0,0.0,0.0,15.0,165.0
images/0336_p235.0_t30.0_z1.0.jpg,images/0403_p210.0_t35.0_z1.0.jpg,0.0,30.0,235.0,1.0,1.0,0.0,0.0,0.0,35.0,210.0
images/0356_p335.0_t30.0_z1.0.jpg,images/0862_p345.0_t20.0_z2.0.jpg,0.0,30.0,335.0,1.0,2.0,0.0,0.0,0.0,20.0,345.0
images/0794_p5.0_t20.0_z2.0.jpg,images/0012_p55.0_t10.0_z1.0.jpg,0.0,20.0,5.0,2.0,1.0,0.0,0.0,0.0,10.0,55.0
